English,Russian
people,люди
over,над
because,потому что
little,маленький
please,пожалуйста
love,любовь
should,должен
mean,иметь в виду
said,сказал
sorry,Извините
give,дайте
off,выключенный
am,являюсь
thank,благодарить
any,Любые
two,два
even,даже
much,много
doing,делает
sure,Конечно
thing,вещь
these,эти
help,помощь
first,первый
into,в
anything,что-либо
still,Все еще
find,найти
life,жизнь
nothing,ничего такого
sir,сэр
day,день
god,Бог
work,Работа
their,их
uh,Эм-м-м
again,опять таки
maybe,может быть
must,должен
before,до
other,Другой
wait,ждать
stop,остановка
call,вызов
after,после
won,выиграл
talk,разговаривать
than,чем
thought,мысль
home,дом
night,ночь
put,помещать
great,большой
those,те
last,последний
better,лучше
everything,все
told,сказал
mr.,г-н.
new,новый
things,вещи
always,всегда
keep,хранить
long,длинная
years,годы
leave,оставлять
does,делает
money,Деньги
around,около
doesn,не
name,имя
place,место
ever,Когда-либо
feel,Чувствовать
guys,ребята
father,отец
guy,парень
made,сделанный
old,старый
isn,is
which,который
big,большой
lot,много
done,Выполнено
hello,привет
nice,отлично
believe,полагать
girl,девочка
someone,кто то
fine,отлично
thanks,Благодарность
wanted,хотел
kind,Добрый
coming,приходящий
house,дом
every,каждый
ok,Ok
throug,через
being,существование
course,курс
stay,остаться
left,оставил
dad,папа
enough,достаточно
happen,случаться
came,пришел
may,май
mother,мать
wrong,неправильный
world,Мир
bad,Плохо
might,мощь
three,три
today,Cегодня
listen,Слушать
another,еще один
understand,понять
hear,слышать
remember,запомнить
ask,спросить
own,собственный
same,такой же
show,показывать
else,еще
kill,убийство
talking,разговор
found,найденный
next,следующий
getting,получающий
care,забота
car,автомобиль
looking,Ищу
son,сын
try,пытаться
woman,женщина
went,шел
hi,Здравствуй
dead,мертвых
many,много
mind,разум
wasn,был
friend,друг
best,Лучший
mom,Мама
hell,ад
morning,утро
trying,пытающийся
boy,мальчик
together,вместе
yourself,самим собой
job,работа
saw,пила
family,семья
real,настоящий
without,без
baby,малыш
room,номер
wouldn,был бы
already,уже
move,шаг
most,самый
seen,видимый
